SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200302|003011103|IAF|19041|ABERDEEN AUSTRALIA EQUITY FUND|4.62
20200302|003057106|ACP|620|ABERDEEN INCOME CR STRATEGIES |10.98
20200302|00326A104|SGOL|7|ABERDEEN STANDARD PHYSICAL GOL|15.18
20200302|003260106|PPLT|2107|ABERDEEN STD PLATINUM ETF TR P|81.14
20200302|003261104|BCI|397|ABERDEEN STD INVTS BLOOMBERG A|20.01
20200302|003262102|PALL|30792|ABERDEEN STD PALLADIUM ETF TR |241.11
20200302|003263100|GLTR|131519|ABERDEEN STD PRECIOUS METALS B|80.00
20200302|003793106|ABBRF|3836|ABRAPLATA RESOURCE C (CANADA) |0.05
20200302|003830106|AXAS|1508|ABRAXAS PETROLEUM CORP.|0.19
20200302|00389L104|ACCA|435276|ACACIA DIVERSIFIED HLDGS INC|0.02
20200302|00400R601|WBIF|399|ABSOLUTE SHS TR WBI BULLBEAR V|25.54
20200302|00400R700|WBIG|45|ABSOLUTE SHS TR WBI BULLBEAR Y|22.55
20200302|00400R833|WBIN|731|ABSOLUTE SHS TR WBI BULLBEAR T|19.17
20200302|00400R841|WBIT|3334|ABS SHS TRWBI BULLBEAR TREND S|20.06
20200302|00430K402|ACST|17368|ACASTI PHARMA INC CL A SHS (CD|0.43
20200302|00434H108|XLRN|48|ACCELERON PHARMA INC|85.93
20200302|00436Q114|ACELWS|296|ACCEL ENTMT INC WT EXP 11/20/2|2.48
20200302|00444T100|ACRX|61610|ACELRX PHARMACEUTICALS INC COM|1.32
20200302|004563102|AVHNY|11|Ackermans & Van Haaren Sa Unsp|14.68
20200302|00461U105|ACRS|41385|ACLARIS THERAPEUTICS INC COM|1.14
20200302|00484M106|ACOR|745|ACORDA THERAPEUTICS INC|1.44
20200302|00489Y402|ACRGF|110238|ACREAGE HLDGS INC COM SUB VTG(|3.98
20200302|004892105|ACBM|193|ACRO BIOMEDICAL CO L|3.49
20200302|00507V109|ATVI|193|ACTIVISION BLIZZARD INC COM ST|58.13
20200302|00547W208|ADMP|26626|ADAMIS PHARMACEUTICALS CORP CO|0.57
20200302|00548A106|ADMS|60|ADAMAS PHARMACEUTICALS INC COM|4.56
20200302|00548F105|PEO|3437|ADAM NAT RES FD INC COM|12.22
20200302|006212104|ADX|3744|ADAMS DIVERSIFIED EQUITY FUND |14.38
20200302|00653A107|ADAP|11510|ADAPTIMMUNE THERAPEUTICS PLC S|3.62
20200302|00654J107|ADXN|44|ADDEX THERAPEUTICS LTD ADS|10.46
20200302|006743306|AEY|700|ADDVANTAGE TECHNOLOGIES GR INC|4.50
20200302|00687D101|IOTS|1592|ADESTO TECHNOLOGIES CORP COM (|12.26
20200302|00688A106|ADIL|5000|ADIAL PHARMACEUTICALS INC COM |1.43
20200302|00725J102|ADOCY|50|ADOCIA SPONSORED ADR (FRA)|12.38
20200302|00762V109|AEGXF|230|AECON GROUP INC.|11.73
20200302|007624307|ADXS|27207|ADVAXIS INC COM PAR $0.001 (DE|0.81
20200302|00764C109|AVK|183|ADVENT CONVERTIBLE AND INCOME |14.47
20200302|00766T100|ACM|626|AECOM COM STK (DE)|44.94
20200302|00767C106|AVOI|1000|Advanced Voice Recognition Sys|0.02
20200302|00768Y206|AADR|271|ADVISORSHARES DORSEY WRIGHT AD|49.38
20200302|00768Y461|DWEQ|40336|ADVISORSHARES TR DORSEY WRIGHT|24.02
20200302|00768Y479|DWAW|34783|ADVISORSHARES TR DORSEY WRIGHT|23.88
20200302|00768Y487|DWUS|28163|ADVISORSHARES TR DORSEY WRIGHT|23.95
20200302|00768Y495|YOLO|239|ADVISORSHARES TR PURE CANNABIS|9.70
20200302|00768Y529|DWSH|1523|ADVISORSHARES TR DORSEY WRIGHT|27.88
20200302|00768Y537|DWMC|137|ADVISORSHARES TR DORSEY WRIGHT|21.64
20200302|00768Y727|MINC|473|ADVISORSHARES TR NEWFLEET MULT|48.89
20200302|00768Y834|FWDB|486|ADVISORSHARES FOLIOBEYOND SMAR|26.58
20200302|00768Y883|HDGE|15208|ADVISORSHARES TRUST RANGER EQU|5.67
20200302|00770C101|ADES|1009|ADVANCED EMISSIONS SOLUTIONS I|8.89
20200302|00770K202|AMTX|2774|AEMETIS INC NEW COM STK (NV)|0.75
20200302|00773T101|ASIX|414|ADVANSIX INC COM (DE)|14.53
20200302|00773U108|ADVM|100|ADVERUM BIOTECHNOLOGIES INC CO|12.31
20200302|00775L106|ANTGF|750|ADVANTAGEWON OIL CORP COM (CAN|.
20200302|00782P108|AVLIF|6682|ADVANTAGE LITHIUM CORP. ORDINA|0.23
20200302|00784D103|ADYX|138|ADYNXX INC COM (DE)|1.10
20200302|007903107|AMD|1891|ADVANCED MICRO DEVICES|45.48
